user_id,sub_code,rating
0,A050,12
0,A020,3
0,9010,15
0,3130,8
1,D030,15
1,8050,10
1,9070,5
1,E050,13
1,6030,7
2,2090,10
2,2060,15
2,B040,10
3,4040,5
3,9070,11
3,4120,15
3,4140,6
3,7010,13
3,C990,1
4,2090,6
4,6080,1
5,8065,10
5,E030,7
5,A033,13
5,1090,2
5,D050,4
5,1070,13
5,A050,4
6,6010,13
6,4160,8
6,3160,8
6,3140,10
6,C020,12
6,3060,8
6,B050,9
6,B020,1
6,4030,8
7,2050,14
7,4200,11
7,1050,12
7,9010,5
7,4149,7
7,2070,1
7,D020,14
8,A070,10
8,C020,8
8,3120,2
8,6055,6
8,3180,13
9,A050,15
9,4100,7
9,4170,13
9,4040,2
9,4990,1
9,7040,14
9,D070,7
9,4120,10
9,7050,14
10,4180,5
10,D070,1
10,4149,5
10,4170,7
10,3160,13
10,8020,14
10,1090,4
11,6055,3
11,6036,14
11,4120,11
11,1090,5
11,C040,6
11,6010,10
12,4210,7
12,8056,15
12,4140,7
12,6033,15
12,6030,5
12,3180,9
12,9005,13
12,1050,12
13,3060,3
13,4090,4
13,6030,12
13,4070,1
14,C040,5
14,6055,7
14,6015,4
14,6020,10
14,A036,10
14,4030,10
14,4010,3
14,4170,1
14,9070,15
15,2010,12
15,A040,13
15,A090,9
15,3080,13
15,8056,11
16,2070,3
16,3010,14
16,1030,1
16,3070,10
16,E040,15
17,2070,7
17,C990,2
18,3046,3
18,E020,8
18,D030,14
18,3060,13
18,6030,4
18,4990,15
19,4015,1
19,D040,8
19,4210,9
19,8056,3
19,4050,2
19,C030,14
19,8085,9
19,8050,8
20,4020,12
20,E000,12
21,4130,5
21,4990,9
21,4060,5
21,C990,14
21,9016,13
21,6080,1
21,3010,7
21,4095,2
22,D030,10
23,4990,13
23,3070,10
23,A033,9
23,3030,13
23,D070,15
24,9010,14
24,E000,5
24,4015,5
24,3070,2
24,6020,5
24,4140,2
24,8085,15
24,9070,2
25,8085,3
25,8065,3
26,8110,6
26,4060,15
26,3046,9
26,4020,1
26,2090,14
26,D070,9
26,A070,8
26,9010,10
27,D070,12
